Economic Activity,Year, Value 
,1/1/2021," JOD 1,662.00 "
,1/1/2022," JOD 1,765.00 "
,1/1/2023," JOD 1,922.00 "
"Water supply; sewerage, waste management and remediation activities",1/1/2008, JOD 85.00 
,1/1/2009, JOD 88.00 
,1/1/2010, JOD 94.00 
,1/1/2011, JOD 102.00 
,1/1/2012, JOD 82.00 
,1/1/2013, JOD 102.00 
,1/1/2014, JOD 112.00 
,1/1/2015, JOD 90.00 
,1/1/2016, JOD 142.00 
,1/1/2017, JOD 146.00 
,1/1/2018, JOD 150.00 
,1/1/2019, JOD 157.00 
,1/1/2020, JOD 156.00 
,1/1/2021, JOD 161.00 
,1/1/2022, JOD 174.00 
,1/1/2023, JOD 189.00 
